8/8/1k5Q/8/1bK5/1r2q1R1/1rN2RR1/5r2 b - - 0 1, True, 8/8/6R1/k7/1b1K4/2r5/2r5/5R2, 9, False, 200, None
4n3/4N3/4p1B1/1P4PP/8/kn6/4Pb2/K7 w - - 0 1, True, 6N1/8/4p1PP/1Pn2n2/1kBK1b2/8/4P3/8, 24, True, 200, None
3B1B2/N1k5/7p/1p1K4/1p6/3n4/4p3/2q3Q1 b - - 1 1, True, 3k1B2/8/2K4p/1p6/1p6/8/8/4n3, 7, False, 200, None
K1k5/3p2pR/8/5rn1/R4p2/4R2p/N7/8 b - - 0 1, True, 3n4/Krkp4/6p1/8/3N4/R3p2R/8/8, 31, True, 200, None
7r/3k4/8/2R4q/1Knn3P/2BR4/7p/4B3 w - - 1 1, True, 8/3k4/8/7r/3B3P/2K5/7R/4n3, 9, False, 200, None
8/2nn1b2/1NP1K3/6kP/2r5/1P2P3/4B3/8 w - - 1 1, True, 4b3/8/KN6/7k/1PB1r3/8/8/8, 12, False, 200, None
b1k3r1/p5PK/8/1N6/8/1PpR4/8/4Rb2 b - - 0 1, True, 8/2k1K1P1/2b5/p1R5/8/1b6/8/8, 13, False, 200, None
3k3n/RP6/1b6/5p2/p4B2/8/2R2P2/Kq6 w - - 0 1, True, 7R/1k6/8/5p2/p4B2/8/5P2/1K6, 10, False, 200, None
4BN2/8/6pr/6k1/bP6/P3q3/1R4K1/3R4 b - - 0 1, True, 4BN2/8/6p1/6k1/bP6/P4q2/1R6/3R2Kr, 11, True, 200, None
4k3/1Q2p3/P7/1p3pBp/2b1K3/8/1n6/2n5 w - - 1 1, True, Q3k3/4p3/7B/1p1Q1p1p/8/3n4/8/4nK2, 13, True, 200, None
2N5/2n5/Pp1b2K1/2p5/8/5P2/1kBr4/3R4 b - - 0 1, True, 8/8/np1N2K1/2p5/8/5P2/3k4/8, 5, False, 200, None
